Username,Embedded_text,Likes,Retweets,Tweet URL
,"BIG REVELATIONS: Imran Khan Beats An Attempt To Conceal Cipher Before NS... 

#امپورٹڈ_حکومت_نامنظور

https://youtu.be/9rAWiqkPGGI via 
@YouTube
youtube.com
BIG REVELATIONS: Imran Khan Beats An Attempt To Conceal Cipher Before...
#ImranKhan #NSCMeeting #AbdulQadirFollow Abdul Qadir:https://twitter.com/AbdulqadirARYhttps://www.facebook.com/abdulqadir.aryhttps://www.instagram.com/abdulq...
3
2",3,2,https://twitter.com/Malikshazlatif1/status/1517669136138129409
,"#امپورٹڈ_حکومت_نامنظور
 respect sir
Shaan Shahid
@mshaanshahid
 · Apr 23
I see you all… standing strong with @ImranKhanPTI.. flags clutched tightly in the hands of the old and young ..with prayers in every breath , a belief in every heart for a better Pakistan .. I see you all ..following our dream .. #AllamaIqbal #theLandofthepure ..",,,https://twitter.com/Malikshazlatif1/status/1517659461044871169
,"#امپورٹڈ_حکومت_نامنظور

 سودگران پاکستان و کشمير 

 لعنت
15
15",15,15,https://twitter.com/Malikshazlatif1/status/1518011453902577665
,"""یا رب دل مسلم کو وہ زندہ تمنا دے

جو روح کو تڑپا دے،جو قلب کو گرما دے""

اللّه نے عمران خان کے ذریعے اقبال کی دعا کو پورا کردیا

#امپورٹڈ_حکومت_نامنظور
6
4",6,4,https://twitter.com/Malikshazlatif1/status/1517686221740417026
,"انا للّٰہ وانا الیہ راجعون اللّٰہ  بندہ کرپٹ 

 بھی تھا اور غدار بھی   پھر بھی عدالت 

#امپورٹڈ_حکومت_نامنظور
5
6",5,6,https://twitter.com/Malikshazlatif1/status/1517824048104984576
,"مہنگائ مارچ والے خواتین و حضرات سیٹ بیلٹ باندھ لیں

دودھ اور شہد کی نہروں میں بہنے سے بچنے کے لئیے بھی 

حفاظتی تدابیر اختیار کر لیں محکمہ موسمیات نے طوفان

 کی پیش گوئ کر دی ہے

#امپورٹڈ_حکومت_نامنظور
6
5",6,5,https://twitter.com/Malikshazlatif1/status/1517833025442267137
,"امریکی  مداخلت اگر وزیراعظم کو ہٹا سکتی ہے تو اگر وہ 

واقعی سازش کریں تو ارمی چیف تک کو بھی ہٹا سکتے ہیں۔

 تے فر دسو پيغام کِس کو ديا جا رہا تھا

#امپورٹڈ_حکومت_نامنظور
7
4",7,4,https://twitter.com/Malikshazlatif1/status/1517877057891422208
,"#امپورٹڈ_حکومت_نامنظور

بريطانيہ ميں  بيٹھ کر امريکی سامراج کے ساتھ مل کر وزارتيں بانٹ رہے ہيں 

کہاں کہاں سےميرے وطن کی شان بيچ رہے ہيں چور ڈاکو اب ادارے چُپ ہيں
5
3",5,3,https://twitter.com/Malikshazlatif1/status/1517811062560759808
,"پاکستانیوں یہ دیکھیں یہ وہ لوگ ہیں جو عمران خان کو یہودی ایجنٹ قرار دے رہے تھے

اللہ الحق ہے اب یہ اپنے آقاؤں کو باور کروا رہے ہیں
کہ ہم لیبرل ہے اسلامی نہیں

کیا اس حکومت میں فضل رحمان بھی لبرل ہے کہ نہیں

#امپورٹڈ_حکومت_نامنظور
2",,2,https://twitter.com/Malikshazlatif1/status/1518013373664927744
,"ہم عمران خان کے ساتھ تھے، ساتھ ہیں 

اور ان شاءاللہ آخری دم تک عمران خان کے ساتھ رہیں گے۔۔۔

تيرا ميرا رشتہ کيا   لاالہ الا اللہ 

 پاکستان کا مطلب کیا لاالہ الا اللہ

#امپورٹڈ_حکومت_نامنظور
1
1",1,1,https://twitter.com/Malikshazlatif1/status/1517830287333416961
,"اس قوم کو سازش اور مُداخلت کا فرق سمجھا  رہے ہيں

جس کو سمجھ نہيں آ رہی ہے پلے کارڈ پڑھ ليں

#امپورٹڈ_حکومت_نامنظور
1
11
11",11,11,https://twitter.com/Malikshazlatif1/status/1517811798443016192
,"خیرات میں دےآیا ہوں جیتی ہوئی بازی 

دنیا یہ سمجھتی ہےکہ میں ہار گیاہوں

میں زخم زخم ہوں لیکن شکست مانی نہیں

محاذ گرم کرو ٹھیک ہو رہا ہوں میں

ہميں کيا چاہئيے آزادی 

ہم کيا مانگتے آزادی 

تُجھے کيا چاہئيے آزادی 

مُجھے کيا چاہئيے آزادی

#امپورٹڈ_حکومت_نامنظور",,,https://twitter.com/Malikshazlatif1/status/1517815174115303424
,"میں بھاگنا چاہتی ہوں

میری سادگی دیکھ میں کیا چاہتی ہوں

 ساتھ غدار بھی لے جا

#امپورٹڈ_حکومت_نامنظور",,,https://twitter.com/Malikshazlatif1/status/1517830699155439616
,"اندرونی او بیرونی دھمکیوں کا ڈٹ کر مقابلہ کیا ہر منٹ اور

 سیکنڈ کو بہت خطرہ محسوس کر رہا ہوں  کسی سیاسی

 پارٹی سے تعلق نہیں ایک عام پاکستانی ہوں ۔۔

پاکستان کی عزت کا سودا برداشت نہیں اپنی موقف
 پر قائم ہوں 

  سر قوم کا سلام قبول کريں

#امپورٹڈ_حکومت_نامنظور
1",,1,https://twitter.com/Malikshazlatif1/status/1517667334567124996
