Username,Embedded_text,Likes,Retweets,Tweet URL
,"Margarine Butter Cream didn't take the fifth, but she used the MAGATURD Retrumplican ""I don't remember"" tactic which is basically the same thing...
5
3
44",3,44,https://twitter.com/EagleMacCassady/status/1517903788560072708
,"6
7
47",7,47,https://twitter.com/EagleMacCassady/status/1517899396544933888
,"1
9
30",9,30,https://twitter.com/EagleMacCassady/status/1517975923341021184
,"2
17",2,17,https://twitter.com/EagleMacCassady/status/1517901511749259265
,"3
4",,4,https://twitter.com/EagleMacCassady/status/1517899280610213888
,3,,3,https://twitter.com/EagleMacCassady/status/1517896881988419595
,"1
1",,1,https://twitter.com/EagleMacCassady/status/1517899004218155009
,"Last one down, next one up.
6
5",,5,https://twitter.com/EagleMacCassady/status/1518268697848254466
,"I'm here for my car repair appointment!
8
1
5",1,5,https://twitter.com/EagleMacCassady/status/1518268070938255361
,"Last one guessed, this one is next...
10
2",,2,https://twitter.com/EagleMacCassady/status/1518273758905225218
,"10
1
10",1,10,https://twitter.com/EagleMacCassady/status/1518268273657327620
,"2
13
43",13,43,https://twitter.com/EagleMacCassady/status/1518269241912406016
,"1
1
6",1,6,https://twitter.com/EagleMacCassady/status/1518268185526640640
,5,,5,https://twitter.com/EagleMacCassady/status/1518268361053978625
,"France decided that democracy is better than autocracy, now the United States needs to do the same in November...

#VoteBlueIn2022 #USDemocracy22 #VoteRedIfYouWantDemocracyDead
3
11",3,11,https://twitter.com/EagleMacCassady/status/1518586324877467648
,"Gerrymandering, the electoral college, and the filibuster all need to be abolished!!!
1
8
37",8,37,https://twitter.com/EagleMacCassady/status/1518629424404512768
,"And the rest of the MAGATURD Retrumicans that committed voter fraud!!
12
12",12,12,https://twitter.com/EagleMacCassady/status/1518637565888409600
,"I honestly don't know what I am going to do with all the Government grants I have been authorized to get, interest rate reductions on credit cards that I don't have, cruises that I have been selected to win, or other ""too-good-to-be-true"" phone call scams I receive.
3
20",,20,https://twitter.com/EagleMacCassady/status/1518387055151230977
,"Last one down, next one up...
5
6",,6,https://twitter.com/EagleMacCassady/status/1518393549057933313
,"1
7",1,7,https://twitter.com/EagleMacCassady/status/1518599555457159172
,"12
11",,11,https://twitter.com/EagleMacCassady/status/1518599291270574081
,2,,2,https://twitter.com/EagleMacCassady/status/1518599145518415872
,2,,2,https://twitter.com/EagleMacCassady/status/1518599006011768833
,"Mammaries, Lit by the shadows of my lights.
6
1
13",1,13,https://twitter.com/EagleMacCassady/status/1518998187343814656
,"Well, it's to see better stupid...
10
2
25",2,25,https://twitter.com/EagleMacCassady/status/1518999692180398080
,"Now let's see if he keeps his word to make Twitter better (edit button, longer tweets) like cracking down on bots, fake accounts, foreign government-run misinformation, white-wing misinformation and lies, hate groups, white nationalist groups... etc.
1
10",,10,https://twitter.com/EagleMacCassady/status/1519000705771745280
,"Last one down, next one up...
11
9",,9,https://twitter.com/EagleMacCassady/status/1519033632769388544
,"Last one guessed, this one next...
4
1
5",1,5,https://twitter.com/EagleMacCassady/status/1519001589968740352
,"You now have one more follower!
11",,11,https://twitter.com/EagleMacCassady/status/1519077316416217089
,"7
17",7,17,https://twitter.com/EagleMacCassady/status/1519091798257381376
,"1
7",1,7,https://twitter.com/EagleMacCassady/status/1518998376909619201
,14,,14,https://twitter.com/EagleMacCassady/status/1519001352076238850
,"Last one down, next one up... A really easy one...
8
1
14",1,14,https://twitter.com/EagleMacCassady/status/1519083304573714436
,"I don't recall what I remember, because I can't remember what I don't recall...
9
28",9,28,https://twitter.com/EagleMacCassady/status/1519323444386713608
,"It's raining conspiracies, culture wars, and lies!
4",,4,https://twitter.com/EagleMacCassady/status/1519322922539700224
,"The Law-Breaking I am above the law GQP MAGATURD Retrumplicans will never stop, we need to vote EVERY GQP MAGATURD Retrumplican out of office before they kill us all!
abcnews4.com
Rep. Madison Cawthorn cited after TSA finds firearm in his bag, authorities confirm
CHARLOTTE, N. C. (WLOS) – Rep. Madison Cawthorn was cited for having a gun at Charlotte Douglas International Airport Tuesday morning, authorities confirm. Caption: Rep. Madison Cawthorn cited after...
2
4",2,4,https://twitter.com/EagleMacCassady/status/1519334692012675073
,"Last one guessed, this one is next...
15
7",,7,https://twitter.com/EagleMacCassady/status/1519380969697988609
,"1
7",1,7,https://twitter.com/EagleMacCassady/status/1519322036937670662
,"1
2",1,2,https://twitter.com/EagleMacCassady/status/1519347320906821633
,"1
3",,3,https://twitter.com/EagleMacCassady/status/1519347446048079876
,"newyorker.com
Kevin McCarthy Amazed by Incredible New Invention Called Tape Recorder
“It’s the darnedest gizmo,” the congressman said. “You speak into it, and then it can play your voice back, clear as day. I can’t for the life of me figure out how it works.”
1
1",1,1,https://twitter.com/EagleMacCassady/status/1519328818007261184
,"Last one guessed, this one is next...
6
3",,3,https://twitter.com/EagleMacCassady/status/1519347894914007046
,"I have all and more tools and had the pleasure of using each and every one of these tools and could not have described the purpose of each tool better than this...
8
4
25",4,25,https://twitter.com/EagleMacCassady/status/1519475388468142080
,"Just Because!!!
1
5",,5,https://twitter.com/EagleMacCassady/status/1519477005284261889
,"The best cure for insomnia is to get a lot of sleep.
11",,11,https://twitter.com/EagleMacCassady/status/1519476510767390720
,"What a way to get a kid to clean their room...
2
1
15",1,15,https://twitter.com/EagleMacCassady/status/1519477278081789952
,"I just love all of this rain, my weeds are growing fantastic!!
4",,4,https://twitter.com/EagleMacCassady/status/1519476438851895296
,"Cat in a nap, with an ear as a hat.
1
11",,11,https://twitter.com/EagleMacCassady/status/1519478193077501952
,"I didn't plan on going for a run today but those cops came out of nowhere...
3
32",,32,https://twitter.com/EagleMacCassady/status/1519472301946900482
,3,,3,https://twitter.com/EagleMacCassady/status/1519476575028273159
,"Last one guessed, this one is next...
5
5",,5,https://twitter.com/EagleMacCassady/status/1520064153087533058
,"How is it that our memory is good enough to retain the least triviality that happens to us, and yet not good enough to recollect how often we have told it to the same person?
19",,19,https://twitter.com/EagleMacCassady/status/1520076855474368514
,"Nobody thinks they are smart, actually far from it, The MAGATURD Retrumplican Koup Kult Klan Terrorist Regime, from Traitor trump all the way down to the poorest MAGATURD are the dumbest humans to ever walk Planet Earth! https://youtu.be/y6u4OYoAxIM via 
@YouTube
youtube.com
Lawrence: Ron DeSantis Is $1 Billion Stupider Than We Thought
Florida Governor Ron DeSantis signed the biggest property tax increase ever when he signed a bill to repeal Disney’s special tax status last week. The distri...
4",,4,https://twitter.com/EagleMacCassady/status/1519927071849558018
,"I don't know how many times I have to say it, but ABUSE IS IN THEIR BLOOD, Sexual or otherwise!

Go GQP MAGATURD RETRUMPLICAN ABUSERS!
pennlive.com
Candidate for Pa. lieutenant governor ordered to stay away from home after wife alleges physical,...
The protection from abuse order against Teddy Daniels accuses him of making threats, saying he would kill the family dog.",,,https://twitter.com/EagleMacCassady/status/1519891255404240897
,"1
13
20",13,20,https://twitter.com/EagleMacCassady/status/1519843778751827969
,"4
14",4,14,https://twitter.com/EagleMacCassady/status/1519843855134339074
,"3
8",3,8,https://twitter.com/EagleMacCassady/status/1519843956263202817
,"1
12",1,12,https://twitter.com/EagleMacCassady/status/1519844277911801861
,"1
12",1,12,https://twitter.com/EagleMacCassady/status/1520128734921166850
,1,,1,https://twitter.com/EagleMacCassady/status/1520064261325795329
,"3
8",,8,https://twitter.com/EagleMacCassady/status/1520064455652122625
,"Frankie Huang 黄碧赤
@ourobororoboruo
 · Apr 22
Not me crying over a scene where two rocks converse through text overlay on the screen",,,https://twitter.com/deedeececil/status/1517936288124456960
,"The most brutal, evil people on earth Are rooting for his return, and this alone should kneecap the 
@GOP
 and yet…
The Guardian
@guardian
 · Apr 24
Saudis’ Biden snub suggests crown prince still banking on Trump’s return https://theguardian.com/us-news/2022/apr/24/saudi-arabia-kushner-trump-biden-mohammed-bin-salman?utm_term=Autofeed&CMP=twt_gu&utm_medium&utm_source=Twitter#Echobox=1650784424…
2",,2,https://twitter.com/deedeececil/status/1518139816486993920
,"As long as y'all talking about Nicole Kidman, the world is sleeping on DESTROYER. Not only is her performance  but it's a dramatic bit of heart-pounding darkness.
1
2",,2,https://twitter.com/deedeececil/status/1518413978476507136
,"I liked it better when the zillionaires just wanted to be space cowboys.
GIF
ALT
1",,1,https://twitter.com/deedeececil/status/1518711259239120896
,"I know it's wrong to
call this sweet hell upon myself
youtube.com
PJ Harding, Noah Cyrus - You Belong To Somebody Else (Lyric Video)
Get ""You Belong To Somebody Else"": https://smarturl.it/YBTSESubscribe to Noah's channel here: http://smarturl.it/NoahCyrusYouTube Subscribe to PJ Harding's...",,,https://twitter.com/deedeececil/status/1518407876930273280
,"Remake the movie Face Off every five years with whomever the most fun casting choices would be. Let's kick it off with Cate Blanchett doing a mean Emily Blunt and vice versa CHANGE MY MIND.
1
2",,2,https://twitter.com/deedeececil/status/1519038483880312832
,"The most important thing about the Elon Musk story is...
Rabbi Danya Ruttenberg
@TheRaDR
 · Apr 26
If Roe v Wade is overturned (decision on Dobbs v Jackson Women’s coming any day now), abortion will be illegal immediately in 26 states. 

Over half the country will mandate forced birth. 

Just so we’re clear. twitter.com/crystal_quade/…
2",,2,https://twitter.com/deedeececil/status/1518774860838674432
,"""I'm 83 years old..."" Hear me... in 2008, a 36-year-old acquaintance expressed to me their fear of more and more non-white people coming out to vote. (You can guess why that year in particular.)
Ben Pu
@BenPu_nbc
 · Apr 26
the restraint shown here is just 

""I want to know if we can cut out some of these liberal things that are going on in America, just like on the TV now, we have two minorities. And I'm not against you minorities... when I was a little boy, the colo--""
Show this thread
1
1",,1,https://twitter.com/deedeececil/status/1518992568536616960
,"Jen Rice
@jen_rice_
 · Apr 26
hearing a lot of ""goodbye twitter"" and not a lot of ""we'll unite and become 100 million+ ungovernable jean ralphios and he will regret the day he ever heard of twitter""
Show this thread",,,https://twitter.com/deedeececil/status/1519057313964777472
,"A series with the most extraordinary season finales BUT even better, the most jaw-dropping, script-flippin' season-premier cold opens.
Josh Spiegel
@mousterpiece
 · Apr 27
Reminded tonight of arguably the best TV cold open, and how it’s never been topped.
Show this thread
2:20
1.6M views",,,https://twitter.com/deedeececil/status/1519366566323757063
,"Every time I see this story I laugh because this is like every actress in town just preparing for a role.
CNN
@CNN
 · Apr 27
A woman who was stranded for six days in the woods in northeastern California rationed a six-pack of yogurt and ate snow to survive before being rescued, according to the Lassen County Sheriff’s Office
https://cnn.it/38rgrSM",,,https://twitter.com/deedeececil/status/1519206798212747265
,"A series with the most extraordinary season finales BUT even better, the most jaw-dropping, script-flippin' season-premier cold opens.
Josh Spiegel
@mousterpiece
 · Apr 27
Reminded tonight of arguably the best TV cold open, and how it’s never been topped.
Show this thread
1.6M views
0:01 / 2:20",,,https://twitter.com/deedeececil/status/1519366566323757063
,"It ain't the mainstream team that got extreme.
Zack Bornstein
@ZackBornstein
 · Apr 29
A helpful graphic I made for no one in particular
Show this thread
1",1,,https://twitter.com/deedeececil/status/1519790735372943362
,"I mean, I don’t think we need to know why a studio said yes to The Godfather. 

King of Queens, explain THAT shit.
David Fear
@davidlfear
 · Apr 28
There's a line of dialogue so bad in this that I almost burned my television and sowed the ashy ground with salt, just to be safe. And that's maybe only the sixth worst thing about this horse's-head-in-your-bed TV series.

THE OFFER. Refuse it, I beg you. https://rollingstone.com/tv/tv-reviews/the-offer-review-godfather-paramount-1335781/…",,,https://twitter.com/deedeececil/status/1519829802269634560
,"Hmmmmmm $30 off $49
Sensation but too good to be true! I will go in there for that deal.
2",,2,https://twitter.com/cosmoksmom/status/1517935149522075648
,"Taylor’s medical issue 
#LoveAfterLockup
GIF
ALT
1",,1,https://twitter.com/cosmoksmom/status/1517687825692565506
,"How about use them to improve regular ol CNN??

What WILL the stars of CNN+ do now?
dailymail.co.uk
What WILL the stars of CNN+ do now?
CEO Chris Licht, who does not officially take over until May 2, tried to assure them they will get opportunities to apply for roles at Warner Bros Discovery.
1",,1,https://twitter.com/cosmoksmom/status/1517698185019506691
,"Makeup brand casts doubt on Amber Heard's claims against Johnny Depp, kit she claims she used wasn’t available until AFTER divorce
dailymail.co.uk
Makeup brand casts doubt on Amber Heard's claims against Johnny Depp
Heard claimed she used Milani's All In One Correcting Kit to cover her alleged injuries. However, Milani has claimed it never released the product until after she and Depp broke up.
1",,1,https://twitter.com/cosmoksmom/status/1517702692663087107
,"Antoine the wet blanket
#LoveAfterLockup
1",,1,https://twitter.com/cosmoksmom/status/1517680624978509824
,"Holy s**t Raydean & Kay are married??
#LoveAfterLockup
1",,1,https://twitter.com/cosmoksmom/status/1517692906773135363
,"The finale was on again so I had to rewatch 
@mackaracka
 
#MyBrilliantFriend
1
1",,1,https://twitter.com/cosmoksmom/status/1517674454620549120
,"Huh?? Why’d they rush to get married if she has to stay there 4 months?? I thought it was to take her back to KY. 
#LoveAfterLockup",,,https://twitter.com/cosmoksmom/status/1517674967525171202
,"And I’d like to say now that Covid is under control, school groups come & get my bottles 
@jenelaina
 
(Hate taking em back, love to donate)",,,https://twitter.com/cosmoksmom/status/1517945278896168962
,"Hopefully it tastes better than it looks 
7
3",,3,https://twitter.com/cosmoksmom/status/1518311247137198081
,"Begging my friends not to leave Twitter if Musk gets control.
As long as we have the BLOCK button, we gotta give it a try.
5
7",,7,https://twitter.com/cosmoksmom/status/1518376754490056704
,"I just had to watch the news since they’ve been pushing that the French election was neck in neck. At least they ARE admitting it’s a blowout.
Didn’t know #Macron was first French Pres re-elected in 20 yrs.
1
4",,4,https://twitter.com/cosmoksmom/status/1518359495910506498
,"Hubbys making fun of me b/c I asked if there’s enough firewood for me to have a fire tonight.
H:it’s hot as hell
Me it’s my Sunday tradition, #90DayFiance, wine & fire!
GIF
ALT
1",,1,https://twitter.com/cosmoksmom/status/1518292696040882178
